Name,Position,Club,Age,Matches Played,Starts,Minutes,Goals,Assists,Goals & Assists
Max Aarons,DF,Bournemouth,24,3,1,86,0,0,0
Joshua Acheampong,DF,Chelsea,18,4,2,170,0,0,0
Tyler Adams,MF,Bournemouth,25,28,21,1965,0,3,3
Tosin Adarabioyo,DF,Chelsea,26,22,15,1409,1,1,2
Simon Adingra,"FW,MF",Brighton,22,29,12,1097,2,2,4
Emmanuel Agbadou,DF,Wolves,27,16,16,1410,1,0,1
Asher Agbinone,MF,Crystal Palace,18,2,0,6,0,0,0
Ola Aina,DF,Nott'ham Forest,27,35,35,2995,2,1,3
Rayan Aït-Nouri,DF,Wolves,23,37,37,3109,4,7,11
Kristoffer Ajer,DF,Brentford,26,24,17,1438,0,0,0
Manuel Akanji,DF,Manchester City,29,26,23,2014,0,0,0
Nathan Aké,DF,Manchester City,29,10,8,678,0,0,0
Carlos Alcaraz,MF,Southampton,21,1,0,10,0,0,0
Carlos Alcaraz,"FW,MF",Everton,21,15,7,764,2,3,5
Trent Alexander-Arnold,DF,Liverpool,25,33,28,2365,3,6,9
Alisson,GK,Liverpool,31,28,28,2508,0,0,0
Miguel Almirón,FW,Newcastle Utd,30,9,1,157,0,0,0
Olabade Aluko,DF,Leicester City,,1,0,2,0,0,0
Edson Álvarez,MF,West Ham,26,28,20,1772,0,1,1
Will Alves,FW,Leicester City,19,1,0,1,0,0,0
Harry Amass,DF,Manchester Utd,17,5,4,346,0,0,0
Samuel Amo-Ameyaw,"FW,DF",Southampton,18,2,0,28,0,0,0
Mathis Amougou,MF,Chelsea,18,1,0,8,0,0,0
Joachim Andersen,DF,Crystal Palace,28,1,1,90,0,0,0
Joachim Andersen,DF,Fulham,28,29,29,2583,0,0,0
Elliot Anderson,MF,Nott'ham Forest,21,37,33,2728,2,6,8
André,MF,Wolves,23,33,31,2472,0,0,0
Michail Antonio,FW,West Ham,34,14,11,836,1,1,2
Antony,"DF,MF",Manchester Utd,24,8,0,141,0,0,0
Julian Araujo,DF,Bournemouth,22,12,7,497,0,0,0
Cameron Archer,FW,Southampton,23,35,13,1441,2,0,2
Alphonse Areola,GK,West Ham,31,26,25,2260,0,0,0
Joe Aribo,"MF,DF",Southampton,28,32,21,2013,3,0,3
Adam Armstrong,"FW,MF",Southampton,27,20,15,1248,2,2,4
Harrison Armstrong,MF,Everton,17,3,0,48,0,0,0
Kepa Arrizabalaga,GK,Bournemouth,29,31,31,2790,0,0,0
Marco Asensio,MF,Aston Villa,28,13,9,743,3,1,4
Brandon Austin,GK,Tottenham,25,1,1,90,0,0,0
Taiwo Awoniyi,FW,Nott'ham Forest,26,26,3,416,1,0,1
Yasin Ayari,MF,Brighton,20,34,22,1965,2,1,3
Jordan Ayew,"FW,MF",Crystal Palace,32,1,0,21,0,0,0
Jordan Ayew,"FW,MF",Leicester City,32,30,19,1638,5,0,5
Benoît Badiashile,DF,Chelsea,23,5,3,334,0,0,0
Leon Bailey,"FW,MF",Aston Villa,26,24,14,1139,1,2,3
Carlos Baleba,MF,Brighton,20,34,31,2661,3,1,4
Ross Barkley,MF,Aston Villa,30,20,3,581,3,1,4
Harvey Barnes,FW,Newcastle Utd,26,33,17,1755,9,4,13
Calvin Bassey,DF,Fulham,24,35,34,3074,1,0,1
Altay Bayındır,GK,Manchester Utd,26,4,4,360,0,0,0
Jan Bednarek,DF,Southampton,28,30,30,2531,2,0,2
Armel Bella Kotchap,DF,Southampton,22,4,2,331,0,0,0
Jean-Ricner Bellegarde,"MF,FW",Wolves,26,35,20,1677,2,7,9
Rodrigo Bentancur,MF,Tottenham,27,26,21,1645,2,0,2
Daniel Bentley,GK,Wolves,31,2,2,180,0,0,0
Sander Berge,MF,Fulham,26,31,26,2224,0,0,0
Lucas Bergvall,MF,Tottenham,18,27,11,1212,0,1,1
Victor Bernth Kristiansen,DF,Leicester City,21,30,29,2482,0,1,1
Beto,FW,Everton,26,30,15,1534,8,0,8
Philip Billing,MF,Bournemouth,28,10,1,184,0,0,0
Yves Bissouma,MF,Tottenham,27,28,16,1408,2,0,2
Oscar Bobb,FW,Manchester City,21,3,0,16,0,0,0
Lamare Bogarde,"DF,MF",Aston Villa,20,8,5,476,0,0,0
Willy Boly,DF,Nott'ham Forest,33,6,1,150,0,0,0
Sven Botman,DF,Newcastle Utd,24,8,6,412,0,0,0
Jarrod Bowen,"FW,MF",West Ham,27,34,34,2973,13,8,21
Conor Bradley,DF,Liverpool,21,19,7,754,0,2,2
Jarrad Branthwaite,DF,Everton,22,30,28,2511,0,1,1
James Bree,DF,Southampton,26,17,13,1075,0,1,1
Ben Brereton,FW,Southampton,25,10,4,449,0,0,0
Nathan Broadhead,"MF,FW",Ipswich Town,26,18,7,702,2,0,2
Armando Broja,FW,Everton,22,10,4,334,0,0,0
David Brooks,"FW,MF",Bournemouth,27,29,9,960,2,0,2
Emi Buendía,"MF,FW",Aston Villa,27,12,0,98,0,0,0
